key,en,fr
!launch,Launch,Lancer
!version,Version,Version
!name,Name,Nom
!filename,File Name,Nom Fichier
!sortby,Sort By,Trier par
!versions,Versions,Versions
!projects,Projects,Projets
!settings,Settings,Paramètres
!projectsdir,Godot Projects Locations,Emplacements des projets Godot
!customdir,Custom Godot installs locations,Emplacements personnalisés des installations de Godot
!excludefiles,Excluded Files,Fichiers exclus
!adddir,Add Directory,Ajouter emplacement
!addfile,Add File,Ajouter fichier
!choosedir,Choose a Directory,Choisir un emplacement
!defaultdir,Default installs location,Emplacement par défaut
!editdir,Change path,Modifier l'emplacement
!deletedir,Delete Directory,Supprimer l'emplacement
!excludedir,Excluded files,Emplacements exclus
!scanlaunch,Always scan when application starts,Toujours scanner au démarrage de l'application
!scannow,Scan Now,Scanner
!closelaunch,Close App When Launching Godot Version,Fermer l'application au lancement d'une version de Godot
!closelaunchp,Close App When Opening A Project,Fermer l'application à l'ouverture d'un projet
!theme,Theme,Thème
!editicon,Edit Icon,Modifier l'icône
!background,Show Background,Afficher l’arrière-plan
!grayscale,Gray Scale,Noir et blanc
!color,Color,Couleur
!save,Save,Enregistrer
!cancel,Cancel,Annuler
!reset,Reset,Restaurer
!edit,Edit,Editer
!editp,Edit Project,Editer le projet
!projectsettings,Project Launch Settings,Options de lancement du projet
!editproj,Edit Project Launch Settings,Modifier les options de lancement du projet
!args,Launch arguments,Arguments de lancement
!launchversion,Launch Engine,Moteur de lancement
!required,Required,Requise
!unknown,Unknown,Inconnu
!lastedit,Last Edit,Dernière Modif
!search,Search,Rechercher
!error,Error,Erreur
!exenotfound,Can't find Godot engine executable at:,Impossible de trouver l'exécutable Godot au chemin : 
!dirnotfound,Can't find directory at:,Impossible de trouver le répertoire au chemin :
!canteditp,Can't edit project. No godot version available,Impossible d'éditer le projet. Aucune version de Godot disponible
